Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,48.709999,49.070000,48.209999,48.330002,44.228462,380100
2015-04-28,48.000000,48.790001,47.540001,48.790001,44.649422,292800
2015-04-29,48.220001,48.430000,47.830002,48.049999,43.972221,154300
2015-04-30,47.910000,48.090000,46.619999,47.000000,43.011330,434100
2015-05-01,46.840000,47.700001,46.500000,47.490002,43.459747,192700
2015-05-04,47.290001,47.750000,47.290001,47.419998,43.395683,156000
2015-05-05,47.200001,47.580002,46.430000,46.680000,42.718487,202600
2015-05-06,46.430000,46.779999,45.150002,45.470001,41.611179,414500
2015-05-07,45.330002,45.639999,45.049999,45.599998,41.730141,267400
2015-05-08,46.509998,47.060001,46.450001,47.040001,43.047939,193000
2015-05-11,46.900002,47.439999,46.869999,47.220001,43.212662,210400
2015-05-12,46.759998,47.080002,46.529999,47.040001,43.047939,106800
2015-05-13,47.360001,47.910000,47.279999,47.750000,43.697681,187600
2015-05-14,48.049999,48.290001,47.700001,48.160000,44.072887,963900
2015-05-15,48.240002,48.520000,47.910000,48.439999,44.329121,158100
2015-05-18,48.439999,48.560001,48.080002,48.189999,44.100338,181800
2015-05-19,48.369999,48.369999,47.150002,47.520000,43.487202,235800
2015-05-20,43.700001,44.189999,42.650002,43.820000,40.101204,1620400
2015-05-21,43.910000,45.450001,43.910000,45.000000,41.181061,339700
2015-05-22,45.080002,45.220001,44.270000,44.270000,40.513012,243400
2015-05-26,44.570000,44.660000,43.799999,43.919998,40.192715,446100
2015-05-27,43.930000,44.200001,43.419998,43.689999,39.982235,533100
2015-05-28,43.189999,43.669998,41.900002,42.590000,38.975590,423500
2015-05-29,42.320000,42.750000,41.840000,42.490002,38.884075,302200
2015-06-01,42.509998,42.849998,41.799999,41.880001,38.325844,291800
2015-06-02,41.680000,42.040001,41.270000,41.840000,38.289238,247100
2015-06-03,43.119999,43.119999,41.250000,41.750000,38.206875,145200
2015-06-04,41.759998,42.240002,41.209999,41.340000,37.831669,112400
2015-06-05,41.259998,42.000000,41.029999,41.849998,38.298386,201000
2015-06-08,41.730000,42.290001,40.880001,41.029999,37.547974,133900
2015-06-09,40.619999,41.000000,39.779999,40.049999,36.651146,218000
2015-06-10,40.470001,41.240002,40.299999,40.980000,37.502216,152800
2015-06-11,41.029999,42.529999,40.900002,42.529999,38.920677,285700
2015-06-12,42.180000,42.459999,42.020000,42.340000,38.746803,137100
2015-06-15,41.930000,42.529999,41.130001,42.509998,38.902374,193000
2015-06-16,42.279999,42.529999,42.070000,42.450001,38.847469,126800
2015-06-17,42.709999,43.169998,42.419998,42.500000,38.893227,180400
2015-06-18,42.650002,42.990002,42.549999,42.770000,39.140308,103100
2015-06-19,43.080002,43.080002,42.130001,42.700001,39.076252,168300
2015-06-22,43.009998,43.180000,42.330002,42.599998,38.984737,241100
2015-06-23,42.639999,42.849998,42.470001,42.840000,39.204372,94300
2015-06-24,42.520000,43.000000,42.509998,42.570000,38.957283,86000
2015-06-25,42.330002,42.650002,42.029999,42.180000,38.600384,103600
2015-06-26,42.070000,42.070000,40.810001,41.130001,37.639492,179700
2015-06-29,40.049999,40.389999,38.919998,39.040001,35.726860,1038700
2015-06-30,39.599998,39.779999,38.919998,39.220001,35.891586,175800
2015-07-01,39.580002,39.959999,38.770000,38.840000,35.543831,134400
2015-07-02,38.910000,39.299999,38.349998,38.549999,35.278442,186000
2015-07-06,37.230000,37.500000,36.230000,36.369999,33.283447,421600
2015-07-07,35.959999,36.139999,34.680000,36.099998,33.036366,367900
2015-07-08,35.380001,35.380001,33.619999,33.669998,30.812584,663800
2015-07-09,35.700001,36.250000,35.130001,35.230000,32.240196,395900
2015-07-10,35.930000,37.189999,35.930000,36.490002,33.393269,236100
2015-07-13,37.029999,37.470001,36.900002,37.369999,34.198586,213800
2015-07-14,37.630001,38.209999,37.630001,37.860001,34.646999,213100
2015-07-15,37.799999,37.900002,36.740002,37.060001,33.914894,236100
2015-07-16,37.480000,37.730000,37.220001,37.509998,34.326702,209300
2015-07-17,37.720001,37.910000,37.299999,37.480000,34.299248,129600
2015-07-20,38.220001,38.650002,37.650002,37.660000,34.463970,246800
2015-07-21,37.630001,37.630001,37.049999,37.060001,33.914894,149400
2015-07-22,36.970001,37.130001,36.349998,36.619999,33.512234,191900
2015-07-23,36.419998,36.740002,35.869999,35.880001,32.835033,260800
2015-07-24,35.939999,35.990002,35.270000,35.470001,32.459827,280700
2015-07-27,34.770000,34.990002,34.080002,34.580002,31.645359,191000
2015-07-28,34.900002,35.540001,34.330002,35.270000,32.276802,201600
2015-07-29,35.570000,36.259998,35.250000,36.240002,33.164482,88500
2015-07-30,36.099998,36.189999,35.730000,36.049999,32.990608,115600
2015-07-31,35.939999,36.049999,35.209999,35.320000,32.322559,182400
2015-08-03,35.000000,35.189999,34.049999,34.220001,31.315910,212600
2015-08-04,34.330002,34.330002,33.720001,33.930000,31.050522,198000
2015-08-05,34.599998,35.860001,34.599998,35.590000,32.569645,431000
2015-08-06,35.759998,35.980000,33.750000,33.910000,31.032219,572700
2015-08-07,34.060001,34.060001,33.150002,33.290001,30.464836,154600
2015-08-10,33.860001,34.189999,33.500000,34.160000,31.261003,411500
2015-08-11,33.770000,33.869999,32.680000,32.779999,29.998114,466400
2015-08-12,32.450001,33.230000,31.430000,33.099998,30.290956,295600
2015-08-13,33.369999,33.880001,33.189999,33.310001,30.483137,176200
2015-08-14,33.250000,33.619999,33.070000,33.169998,30.355017,54600
2015-08-17,33.150002,33.610001,32.810001,33.590000,30.739374,131600
2015-08-18,33.540001,33.540001,32.660000,33.049999,30.245203,148300
2015-08-19,32.619999,32.689999,31.610001,31.850000,29.147039,209400
2015-08-20,31.400000,31.510000,30.049999,30.049999,27.499798,410300
2015-08-21,29.510000,29.660000,28.059999,28.150000,25.761040,329300
2015-08-24,25.639999,28.620001,25.510000,27.020000,24.726940,375100
2015-08-25,27.559999,29.200001,27.559999,27.639999,25.294321,369500
2015-08-26,28.190001,29.200001,27.340000,28.200001,25.806799,369000
2015-08-27,29.100000,29.780001,28.860001,29.690001,27.170349,237400
2015-08-28,29.340000,30.450001,29.340000,30.100000,27.545555,125100
2015-08-31,29.639999,30.040001,29.250000,29.570000,27.060534,87800
2015-09-01,29.049999,29.559999,28.650000,28.870001,26.419941,126000
2015-09-02,29.440001,29.490000,28.820000,29.330000,26.840900,103300
2015-09-03,29.490000,30.209999,29.490000,29.780001,27.252712,85000
2015-09-04,29.320000,29.620001,29.000000,29.090000,26.621269,87100
2015-09-08,30.059999,30.280001,29.900000,30.190001,27.627918,161600
2015-09-09,30.879999,30.930000,30.059999,30.160000,27.600464,223400
2015-09-10,30.340000,30.530001,29.959999,30.230000,27.664522,70200
2015-09-11,29.799999,30.250000,29.520000,30.219999,27.655371,59500
2015-09-14,30.230000,30.230000,29.750000,29.809999,27.280163,58800
2015-09-15,29.709999,30.320000,29.709999,30.200001,27.637068,66000
2015-09-16,30.260000,30.860001,30.260000,30.580000,27.984819,32800
2015-09-17,30.340000,31.000000,30.020000,30.430000,27.847549,76000
2015-09-18,30.000000,30.070000,29.350000,29.430000,26.932415,292400
2015-09-21,29.700001,29.930000,29.330000,29.469999,26.969019,73300
2015-09-22,29.240000,29.270000,28.530001,28.780001,26.337576,97300
2015-09-23,28.850000,28.889999,27.629999,27.639999,25.294321,89800
2015-09-24,27.209999,27.500000,26.549999,27.280001,24.964874,137500
2015-09-25,27.680000,27.830000,26.730000,26.860001,24.580517,117100
2015-09-28,26.750000,26.809999,25.260000,25.350000,23.198664,233200
2015-09-29,25.490000,26.160000,25.250000,25.440001,23.281027,102700
2015-09-30,26.070000,26.590000,25.980000,26.540001,24.287676,73600
2015-10-01,26.690001,26.850000,26.120001,26.629999,24.370037,141700
2015-10-02,26.620001,28.690001,26.490000,28.660000,26.227760,111600
2015-10-05,29.040001,30.030001,29.000000,30.000000,27.454041,185800
2015-10-06,29.770000,30.600000,29.600000,30.280001,27.710279,97300
2015-10-07,30.799999,31.340000,30.170000,31.250000,28.597960,240500
2015-10-08,31.090000,31.799999,30.780001,31.770000,29.073830,178300
2015-10-09,31.719999,31.850000,31.430000,31.690001,29.000620,87000
2015-10-12,31.780001,31.780001,30.959999,31.230000,28.579655,93100
2015-10-13,31.049999,31.590000,30.610001,30.910000,28.286814,76000
2015-10-14,31.469999,32.180000,31.450001,31.980000,29.266008,124100
2015-10-15,32.430000,32.799999,32.180000,32.770000,29.988964,83400
2015-10-16,32.590000,32.599998,31.950001,32.240002,29.503944,87100
2015-10-19,31.889999,32.279999,31.350000,31.590000,28.909105,109500
2015-10-20,31.530001,32.099998,31.320000,31.420000,28.753532,34100
2015-10-21,31.520000,31.580000,30.450001,30.510000,27.920761,84800
2015-10-22,30.770000,31.120001,30.629999,30.809999,28.195299,114500
2015-10-23,31.070000,31.559999,30.700001,31.080000,28.442387,99500
2015-10-26,31.090000,31.180000,30.610001,30.670000,28.067181,89700
2015-10-27,30.219999,30.250000,29.020000,29.340000,26.850052,161300
2015-10-28,29.260000,30.330000,29.260000,30.270000,27.701128,147000
2015-10-29,30.120001,30.510000,30.030001,30.330000,27.756035,54400
