Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,45.250000,45.250000,45.250000,45.250000,31.116299,0
2015-04-28,45.270000,45.270000,45.270000,45.270000,31.130053,200
2015-04-29,45.080002,45.080002,45.080002,45.080002,30.999399,500
2015-04-30,45.080002,45.080002,45.080002,45.080002,30.999399,0
2015-05-01,45.599998,45.680000,45.500000,45.680000,31.411991,1000
2015-05-04,46.900002,47.090000,46.900002,47.000000,32.319691,4400
2015-05-05,47.200001,47.480000,47.009998,47.009998,32.326565,1000
2015-05-06,49.349998,49.450001,49.270000,49.299999,33.901295,1400
2015-05-07,49.279999,49.450001,49.130001,49.450001,34.004440,900
2015-05-08,49.560001,49.830002,49.549999,49.549999,34.073204,2900
2015-05-11,49.490002,49.490002,49.400002,49.400002,33.970062,1000
2015-05-12,49.450001,49.660000,49.450001,49.660000,34.148849,600
2015-05-13,49.820000,50.150002,49.770000,49.849998,34.279503,10000
2015-05-14,50.259998,50.500000,50.180000,50.500000,34.726479,2500
2015-05-15,50.560001,50.560001,50.500000,50.500000,34.726479,400
2015-05-18,50.759998,50.759998,50.709999,50.709999,34.870880,800
2015-05-19,50.189999,50.320000,50.000000,50.000000,34.382645,2900
2015-05-20,50.009998,50.009998,50.009998,50.009998,34.389530,200
2015-05-21,51.250000,51.250000,51.250000,51.250000,35.242218,200
2015-05-22,51.049999,51.049999,51.049999,51.049999,35.104691,400
2015-05-26,50.430000,50.430000,50.169998,50.169998,34.499554,1600
2015-05-27,50.529999,50.610001,50.220001,50.220001,34.533932,11000
2015-05-28,50.669998,51.150002,50.669998,50.970001,35.049675,2100
2015-05-29,51.080002,51.119999,50.849998,51.000000,35.070301,2800
2015-06-01,48.119999,48.660000,48.119999,48.389999,33.275528,4700
2015-06-02,49.049999,49.320000,49.049999,49.240002,33.860039,1300
2015-06-03,50.430000,50.560001,50.369999,50.560001,34.767738,900
2015-06-04,49.599998,50.070000,49.330002,49.330002,33.921925,27800
2015-06-05,48.580002,49.000000,48.080002,49.000000,33.694996,2100
2015-06-08,48.919998,48.919998,48.160000,48.450001,33.316788,8600
2015-06-09,48.180000,48.380001,48.110001,48.110001,33.082985,3100
2015-06-10,49.759998,50.250000,49.759998,50.250000,34.554565,3400
2015-06-11,49.320000,49.320000,49.250000,49.250000,33.866913,900
2015-06-12,49.150002,49.700001,49.150002,49.320000,33.915047,4000
2015-06-15,47.700001,47.959999,47.650002,47.650002,32.766670,2400
2015-06-16,48.830002,49.130001,48.810001,49.130001,33.784397,1300
2015-06-17,48.130001,48.500000,47.950001,48.500000,33.351173,7000
2015-06-18,49.340000,50.360001,49.340000,49.830002,34.265751,2200
2015-06-19,49.070000,49.070000,48.840000,48.840000,33.584969,1500
2015-06-22,50.220001,50.580002,50.220001,50.580002,34.781494,2100
2015-06-23,50.240002,50.470001,50.150002,50.470001,34.705849,4500
2015-06-24,49.599998,49.849998,49.599998,49.599998,34.107586,2900
2015-06-25,49.599998,49.599998,49.599998,49.599998,34.107586,0
